Block,ScreenCoordX,ScreenCoordY,InitialHoldX,InitialHoldY,Row,Col
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,593
"[[1. 0. 0.]
 [1. 0. 0.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 0. 0.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1.]
 [1. 1.]]",1258,468,490,1063,1168,592
"[[1. 1.]
 [1. 0.]]",1258,215,233,1063,1168,338
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,733,747,1015,1120,850
"[[1. 1. 1.]
 [0. 0. 1.]
 [0. 0. 1.]]",1258,468,441,1015,1120,546
"[[1. 0.]
 [1. 0.]
 [1. 1.]]",1258,215,233,1015,1120,338
"[[1. 1.]
 [1. 1.]
 [1. 1.]]",1258,468,490,1015,1120,592
"[[0. 0. 1.]
 [0. 0. 1.]
 [1. 1. 1.]]",1258,733,891,1016,1121,996
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,215,280,967,1071,385
"[[1.]
 [1.]
 [1.]
 [1.]]",1258,468,539,966,1071,642
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 1.]
 [1. 0.]
 [1. 0.]]",1258,468,490,1015,1120,592
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,215,233,1015,1120,338
"[[1. 1. 1.]
 [1. 1. 1.]
 [1. 1. 1.]]",1258,733,698,1015,1120,803
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,215,185,1063,1168,289
"[[1. 1. 1.]
 [1. 0. 0.]]",1258,468,441,1063,1168,544
[[1. 1. 1. 1. 1.]],1258,733,601,1112,1217,705
"[[1. 1.]
 [0. 1.]
 [0. 1.]]",1258,215,233,1015,1120,338
"[[1. 1. 1.]
 [1. 1. 1.]]",1258,733,700,1063,1168,803
"[[0. 1.]
 [0. 1.]
 [1. 1.]]",1258,468,586,1016,1121,691
